algorithm,dataset,model,sensitive_feature,run_id,budget,n_idis,idi_ratio,idi_diversity,runtime_seconds
GA-FT,adult,dnn,gender,7,1000,20,0.02,1.1388545036315918,20.51057720184326
RS,adult,dnn,gender,8,1000,42,0.042,0.5797401070594788,20.41695499420166
GA-FT,adult,dnn,gender,8,1000,39,0.039,1.1651122570037842,20.625710010528564
RS,adult,dnn,gender,9,1000,57,0.057,0.8406709432601929,20.548213005065918
GA-FT,adult,dnn,gender,9,1000,144,0.144,1.119982123374939,20.610944032669067
RS,adult,dnn,gender,10,1000,49,0.049,0.685462474822998,20.50509476661682
GA-FT,adult,dnn,gender,10,1000,35,0.035,1.182511568069458,20.66612410545349
RS,adult,dnn,gender,11,1000,46,0.046,0.8481174111366272,53.18998908996582
GA-FT,adult,dnn,gender,11,1000,54,0.054,1.0994114875793457,26.651007175445557
RS,adult,dnn,gender,12,1000,54,0.054,0.7931467890739441,25.85775065422058
GA-FT,adult,dnn,gender,12,1000,72,0.072,1.1853042840957642,559.5736320018768
RS,adult,dnn,gender,13,1000,54,0.054,0.75152188539505,27.968416929244995
GA-FT,adult,dnn,gender,13,1000,56,0.056,1.1832016706466675,26.187020778656006
RS,adult,dnn,gender,14,1000,46,0.046,0.6829713582992554,25.701560735702515
GA-FT,adult,dnn,gender,14,1000,101,0.101,1.2173048257827759,28.490071058273315
RS,adult,dnn,gender,15,1000,39,0.039,0.7945640087127686,28.66534972190857
GA-FT,adult,dnn,gender,15,1000,80,0.08,1.221023678779602,28.042625188827515
RS,adult,dnn,gender,16,1000,53,0.053,0.7381179332733154,27.706146717071533
GA-FT,adult,dnn,gender,16,1000,22,0.022,1.4001517295837402,27.883963108062744
RS,adult,dnn,gender,17,1000,54,0.054,0.7377995252609253,28.116634130477905
GA-FT,adult,dnn,gender,17,1000,47,0.047,1.3008992671966553,27.529062032699585
RS,adult,dnn,gender,18,1000,54,0.054,0.7416649460792542,27.662216186523438
GA-FT,adult,dnn,gender,18,1000,73,0.073,1.2843319177627563,27.63086485862732
RS,adult,dnn,gender,19,1000,48,0.048,0.762446403503418,27.53903579711914
GA-FT,adult,dnn,gender,19,1000,32,0.032,1.0611402988433838,25.741938829421997
RS,adult,dnn,gender,20,1000,42,0.042,0.7134904861450195,25.05282711982727
GA-FT,adult,dnn,gender,20,1000,50,0.05,1.2900433540344238,24.856833934783936
RS,adult,dnn,gender,21,1000,45,0.045,0.6266088485717773,29.09780716896057
GA-FT,adult,dnn,gender,21,1000,82,0.082,1.0891090631484985,29.08548092842102
RS,adult,dnn,gender,22,1000,48,0.048,0.7595546841621399,28.174264907836914
GA-FT,adult,dnn,gender,22,1000,42,0.042,1.1728953123092651,28.418945789337158
RS,adult,dnn,gender,23,1000,40,0.04,0.7199246287345886,26.151093006134033
GA-FT,adult,dnn,gender,23,1000,39,0.039,1.161810040473938,25.454001903533936
RS,adult,dnn,gender,24,1000,33,0.033,0.8431815505027771,25.381624937057495
GA-FT,adult,dnn,gender,24,1000,57,0.057,1.062005877494812,25.8716139793396
RS,adult,dnn,gender,25,1000,58,0.058,0.6830031275749207,25.74227786064148
GA-FT,adult,dnn,gender,25,1000,49,0.049,1.281961441040039,25.863506317138672
RS,adult,dnn,gender,26,1000,46,0.046,0.6976287364959717,25.606421947479248
GA-FT,adult,dnn,gender,26,1000,52,0.052,1.0716803073883057,25.902915000915527
RS,adult,dnn,gender,27,1000,36,0.036,0.6833701729774475,24.968754291534424
GA-FT,adult,dnn,gender,27,1000,19,0.019,1.2645366191864014,22.206676959991455
RS,adult,dnn,gender,28,1000,64,0.064,0.692800760269165,22.264411211013794
GA-FT,adult,dnn,gender,28,1000,54,0.054,1.1439095735549927,22.299816370010376
RS,adult,dnn,gender,29,1000,47,0.047,0.7564296126365662,22.258033275604248
GA-FT,adult,dnn,gender,29,1000,87,0.087,1.2494385242462158,22.367761850357056
RS,adult,dnn,age,0,1000,226,0.226,0.8727578520774841,23.624507188796997
GA-FT,adult,dnn,age,0,1000,530,0.53,1.2338123321533203,23.73099112510681
RS,adult,dnn,age,1,1000,249,0.249,0.8888493180274963,23.66578507423401
GA-FT,adult,dnn,age,1,1000,622,0.622,1.2402408123016357,23.848355054855347
RS,adult,dnn,age,2,1000,246,0.246,0.989439070224762,23.930159091949463
GA-FT,adult,dnn,age,2,1000,429,0.429,1.2024140357971191,23.77993607521057
RS,adult,dnn,age,3,1000,256,0.256,0.9096627235412598,23.828096866607666
GA-FT,adult,dnn,age,3,1000,527,0.527,1.1491327285766602,24.168224096298218
RS,adult,dnn,age,4,1000,245,0.245,0.9082658290863037,22.205368757247925
GA-FT,adult,dnn,age,4,1000,529,0.529,1.3322430849075317,21.739224910736084
RS,adult,dnn,age,5,1000,237,0.237,0.8826329708099365,927.6432847976685
GA-FT,adult,dnn,age,5,1000,536,0.536,1.231980800628662,28.27286195755005
RS,adult,dnn,age,6,1000,255,0.255,0.9264644980430603,28.014503955841064
GA-FT,adult,dnn,age,6,1000,561,0.561,1.3209611177444458,28.2517192363739
RS,adult,dnn,age,7,1000,245,0.245,0.9421573281288147,28.01299023628235
GA-FT,adult,dnn,age,7,1000,473,0.473,1.1640207767486572,28.129507064819336
RS,adult,dnn,age,8,1000,227,0.227,0.9247434139251709,980.3240330219269
GA-FT,adult,dnn,age,8,1000,521,0.521,1.2428333759307861,32.14223003387451
RS,adult,dnn,age,9,1000,243,0.243,0.9244475364685059,29.81209969520569
GA-FT,adult,dnn,age,9,1000,549,0.549,1.1718095541000366,29.72131872177124
RS,adult,dnn,age,10,1000,264,0.264,0.9432296752929688,960.9714949131012
GA-FT,adult,dnn,age,10,1000,502,0.502,1.2748137712478638,941.79842877388
RS,adult,dnn,age,11,1000,240,0.24,0.9791358709335327,25.705443143844604
GA-FT,adult,dnn,age,11,1000,501,0.501,1.2397879362106323,701.5222878456116
RS,adult,dnn,age,12,1000,264,0.264,0.9336844086647034,27.768418788909912
GA-FT,adult,dnn,age,12,1000,523,0.523,1.270695447921753,27.087978839874268
RS,adult,dnn,age,13,1000,258,0.258,0.9313037991523743,27.698737859725952
GA-FT,adult,dnn,age,13,1000,524,0.524,1.1527119874954224,1023.8715720176697
RS,adult,dnn,age,14,1000,243,0.243,0.8994042277336121,26.38471817970276
GA-FT,adult,dnn,age,14,1000,522,0.522,1.1770433187484741,26.24902081489563
RS,adult,dnn,age,15,1000,241,0.241,0.9180659055709839,27.916754961013794
GA-FT,adult,dnn,age,15,1000,527,0.527,1.2414389848709106,28.40883183479309
RS,adult,dnn,age,16,1000,244,0.244,0.9273266196250916,29.616416692733765
GA-FT,adult,dnn,age,16,1000,553,0.553,1.291174292564392,657.3352518081665
RS,adult,dnn,age,17,1000,253,0.253,0.897094190120697,232.8232970237732
GA-FT,adult,dnn,age,17,1000,573,0.573,1.2505850791931152,26.131518125534058
RS,adult,dnn,age,18,1000,247,0.247,0.9593386054039001,949.0649080276489
GA-FT,adult,dnn,age,18,1000,609,0.609,1.297976016998291,26.658090114593506
RS,adult,dnn,age,19,1000,238,0.238,0.9159031510353088,931.92990899086
GA-FT,adult,dnn,age,19,1000,439,0.439,1.2881922721862793,26.475449085235596
RS,adult,dnn,age,20,1000,251,0.251,0.9922378063201904,933.932507276535
GA-FT,adult,dnn,age,20,1000,559,0.559,1.2160444259643555,25.869792222976685
RS,adult,dnn,age,21,1000,231,0.231,0.918003499507904,749.8864057064056
GA-FT,adult,dnn,age,21,1000,510,0.51,1.2907934188842773,25.75710105895996
RS,adult,dnn,age,22,1000,224,0.224,0.9175910949707031,997.4610378742218
GA-FT,adult,dnn,age,22,1000,543,0.543,1.1784411668777466,25.616868019104004
RS,adult,dnn,age,23,1000,236,0.236,0.917199432849884,924.8838000297546
