algorithm,dataset,model,sensitive_feature,run_id,budget,n_idis,idi_ratio,idi_diversity,runtime_seconds
RS,adult,lr,age,16,1000,550,0.55,0.960470974445343,0.09807419776916504
GA-FT,adult,lr,age,16,1000,782,0.782,1.265795350074768,0.1358349323272705
RS,adult,lr,age,17,1000,584,0.584,0.9517322778701782,0.09569382667541504
GA-FT,adult,lr,age,17,1000,743,0.743,1.450441837310791,0.14315009117126465
RS,adult,lr,age,18,1000,565,0.565,0.966841995716095,0.09494924545288086
GA-FT,adult,lr,age,18,1000,718,0.718,1.4987362623214722,0.1416628360748291
RS,adult,lr,age,19,1000,570,0.57,0.9688149690628052,0.09763574600219727
GA-FT,adult,lr,age,19,1000,690,0.69,1.3766547441482544,0.13672399520874023
RS,adult,lr,age,20,1000,542,0.542,0.977739691734314,0.10565376281738281
GA-FT,adult,lr,age,20,1000,672,0.672,1.4132277965545654,0.13946771621704102
RS,adult,lr,age,21,1000,542,0.542,0.9845899343490601,0.09546995162963867
GA-FT,adult,lr,age,21,1000,735,0.735,1.3795843124389648,0.1372530460357666
RS,adult,lr,age,22,1000,553,0.553,0.9753724932670593,0.0986781120300293
GA-FT,adult,lr,age,22,1000,699,0.699,1.4025903940200806,0.14305996894836426
RS,adult,lr,age,23,1000,551,0.551,0.9920780658721924,0.10294580459594727
GA-FT,adult,lr,age,23,1000,761,0.761,1.329437494277954,0.14028692245483398
RS,adult,lr,age,24,1000,568,0.568,0.962670624256134,0.09824299812316895
GA-FT,adult,lr,age,24,1000,765,0.765,1.3111376762390137,0.13966822624206543
RS,adult,lr,age,25,1000,518,0.518,0.966875433921814,0.0965890884399414
GA-FT,adult,lr,age,25,1000,754,0.754,1.4408761262893677,0.14187026023864746
RS,adult,lr,age,26,1000,542,0.542,0.9681037068367004,0.09802508354187012
GA-FT,adult,lr,age,26,1000,758,0.758,1.3399714231491089,0.1394481658935547
RS,adult,lr,age,27,1000,537,0.537,0.9636673927307129,0.09723496437072754
GA-FT,adult,lr,age,27,1000,726,0.726,1.2830225229263306,0.13989806175231934
RS,adult,lr,age,28,1000,555,0.555,0.95993971824646,0.09591817855834961
GA-FT,adult,lr,age,28,1000,733,0.733,1.2902215719223022,0.13672828674316406
RS,adult,lr,age,29,1000,582,0.582,0.9720726609230042,0.0951082706451416
GA-FT,adult,lr,age,29,1000,750,0.75,1.3086957931518555,0.13779926300048828
RS,adult,rf,race,0,1000,130,0.13,0.8174450397491455,1032.6754157543182
GA-FT,adult,rf,race,0,1000,157,0.157,0.8782157897949219,14.73991084098816
RS,adult,rf,race,1,1000,144,0.144,0.8252219557762146,14.613062858581543
GA-FT,adult,rf,race,1,1000,215,0.215,0.9626811146736145,956.2531378269196
RS,adult,rf,race,2,1000,133,0.133,0.8539713621139526,14.616671085357666
GA-FT,adult,rf,race,2,1000,216,0.216,0.8488714694976807,14.576848030090332
RS,adult,rf,race,3,1000,134,0.134,0.7990437150001526,14.725181102752686
GA-FT,adult,rf,race,3,1000,261,0.261,1.1151665449142456,181.05877709388733
RS,adult,rf,race,4,1000,145,0.145,0.7964736819267273,14.529520988464355
GA-FT,adult,rf,race,4,1000,201,0.201,0.8241919279098511,14.621634721755981
RS,adult,rf,race,5,1000,139,0.139,0.8644918203353882,976.3275310993195
GA-FT,adult,rf,race,5,1000,148,0.148,0.9176177382469177,14.61579418182373
RS,adult,rf,race,6,1000,133,0.133,0.8250048160552979,14.574230194091797
GA-FT,adult,rf,race,6,1000,139,0.139,1.297404408454895,14.600897073745728
RS,adult,rf,race,7,1000,142,0.142,0.8501421809196472,14.566057920455933
GA-FT,adult,rf,race,7,1000,238,0.238,0.8422483205795288,14.58764910697937
RS,adult,rf,race,8,1000,124,0.124,0.8673023581504822,14.530715942382812
GA-FT,adult,rf,race,8,1000,196,0.196,0.8841694593429565,14.672848224639893
RS,adult,rf,race,9,1000,145,0.145,0.8900649547576904,14.626657962799072
GA-FT,adult,rf,race,9,1000,185,0.185,1.134338140487671,14.654279947280884
RS,adult,rf,race,10,1000,146,0.146,0.9157142043113708,14.592363834381104
GA-FT,adult,rf,race,10,1000,194,0.194,1.1380043029785156,14.55249309539795
RS,adult,rf,race,11,1000,143,0.143,0.9325540065765381,14.665066957473755
GA-FT,adult,rf,race,11,1000,188,0.188,0.8157060742378235,14.603241920471191
RS,adult,rf,race,12,1000,153,0.153,0.9053970575332642,14.56551480293274
GA-FT,adult,rf,race,12,1000,159,0.159,0.9303339719772339,14.565051794052124
RS,adult,rf,race,13,1000,136,0.136,0.8693432807922363,14.59669828414917
GA-FT,adult,rf,race,13,1000,215,0.215,0.867398202419281,14.577193021774292
RS,adult,rf,race,14,1000,148,0.148,0.8268399834632874,14.612685918807983
GA-FT,adult,rf,race,14,1000,246,0.246,0.8911188244819641,14.63300895690918
RS,adult,rf,race,15,1000,141,0.141,0.7980819940567017,14.62783408164978
GA-FT,adult,rf,race,15,1000,168,0.168,0.7729275226593018,14.68813419342041
RS,adult,rf,race,16,1000,148,0.148,0.87620609998703,14.624577045440674
GA-FT,adult,rf,race,16,1000,153,0.153,0.9958238005638123,14.533597946166992
RS,adult,rf,race,17,1000,147,0.147,0.8617624640464783,14.709940195083618
GA-FT,adult,rf,race,17,1000,173,0.173,1.059454321861267,14.607486009597778
RS,adult,rf,race,18,1000,135,0.135,0.8540887832641602,14.602405786514282
GA-FT,adult,rf,race,18,1000,199,0.199,1.1363439559936523,14.617519855499268
RS,adult,rf,race,19,1000,138,0.138,0.9115003943443298,14.60381817817688
GA-FT,adult,rf,race,19,1000,205,0.205,0.9336246848106384,14.570671081542969
RS,adult,rf,race,20,1000,141,0.141,0.928961455821991,14.551500797271729
GA-FT,adult,rf,race,20,1000,191,0.191,1.0886369943618774,14.603772163391113
RS,adult,rf,race,21,1000,148,0.148,0.8587693572044373,14.663212060928345
GA-FT,adult,rf,race,21,1000,214,0.214,0.7116224765777588,14.588911294937134
RS,adult,rf,race,22,1000,135,0.135,0.8533387780189514,14.625944137573242
GA-FT,adult,rf,race,22,1000,207,0.207,0.8555902242660522,14.59192442893982
RS,adult,rf,race,23,1000,130,0.13,0.8394385576248169,14.59422779083252
GA-FT,adult,rf,race,23,1000,146,0.146,0.7688238024711609,14.6005277633667
RS,adult,rf,race,24,1000,117,0.117,0.8304569721221924,14.607851028442383
GA-FT,adult,rf,race,24,1000,139,0.139,0.8246778249740601,14.659318208694458
RS,adult,rf,race,25,1000,131,0.131,0.8857524991035461,14.56745195388794
GA-FT,adult,rf,race,25,1000,197,0.197,0.8948386907577515,14.666448831558228
RS,adult,rf,race,26,1000,141,0.141,0.8073713779449463,14.654788970947266
GA-FT,adult,rf,race,26,1000,186,0.186,0.9206531643867493,14.664454936981201
RS,adult,rf,race,27,1000,149,0.149,0.8513539433479309,14.56048059463501
GA-FT,adult,rf,race,27,1000,252,0.252,0.8351485729217529,14.682287216186523
RS,adult,rf,race,28,1000,162,0.162,0.8670475482940674,14.636478900909424
GA-FT,adult,rf,race,28,1000,203,0.203,0.9949638843536377,14.597596168518066
RS,adult,rf,race,29,1000,153,0.153,0.8884347081184387,14.595110893249512
GA-FT,adult,rf,race,29,1000,267,0.267,0.8714616298675537,14.65802812576294
RS,adult,rf,gender,0,1000,47,0.047,1.0504263639450073,14.578965902328491
GA-FT,adult,rf,gender,0,1000,90,0.09,0.9747477173805237,14.599519968032837
RS,adult,rf,gender,1,1000,52,0.052,0.9741748571395874,14.60467791557312
GA-FT,adult,rf,gender,1,1000,156,0.156,1.2340764999389648,14.528528928756714
RS,adult,rf,gender,2,1000,43,0.043,1.0503699779510498,14.565474033355713
GA-FT,adult,rf,gender,2,1000,105,0.105,0.9514263868331909,14.611767053604126
RS,adult,rf,gender,3,1000,42,0.042,1.0201236009597778,14.589051961898804
GA-FT,adult,rf,gender,3,1000,111,0.111,1.072660207748413,14.596000909805298
RS,adult,rf,gender,4,1000,45,0.045,0.985860288143158,14.590190172195435
GA-FT,adult,rf,gender,4,1000,96,0.096,0.8664790987968445,14.582036972045898
RS,adult,rf,gender,5,1000,45,0.045,1.107254147529602,14.588664054870605
GA-FT,adult,rf,gender,5,1000,25,0.025,0.9376377463340759,14.610069036483765
RS,adult,rf,gender,6,1000,42,0.042,1.0312128067016602,14.488893985748291
GA-FT,adult,rf,gender,6,1000,54,0.054,1.1276941299438477,14.63488483428955
RS,adult,rf,gender,7,1000,38,0.038,1.110671043395996,14.585554838180542
GA-FT,adult,rf,gender,7,1000,145,0.145,0.9215131998062134,14.624046087265015
RS,adult,rf,gender,8,1000,39,0.039,1.1142206192016602,14.644855976104736
GA-FT,adult,rf,gender,8,1000,111,0.111,1.0854936838150024,14.524492740631104
RS,adult,rf,gender,9,1000,57,0.057,1.0174468755722046,14.564157962799072
GA-FT,adult,rf,gender,9,1000,83,0.083,0.6790746450424194,14.641182899475098
RS,adult,rf,gender,10,1000,45,0.045,1.0507014989852905,14.553929805755615
GA-FT,adult,rf,gender,10,1000,103,0.103,1.1831945180892944,14.639142036437988
RS,adult,rf,gender,11,1000,48,0.048,1.1412633657455444,14.567293882369995
GA-FT,adult,rf,gender,11,1000,71,0.071,0.6767666935920715,14.563228130340576
RS,adult,rf,gender,12,1000,51,0.051,1.0749136209487915,14.531222105026245
GA-FT,adult,rf,gender,12,1000,195,0.195,0.7120897769927979,14.549125909805298
RS,adult,rf,gender,13,1000,32,0.032,0.9619317054748535,14.589843034744263
GA-FT,adult,rf,gender,13,1000,90,0.09,0.885435938835144,14.573030948638916
RS,adult,rf,gender,14,1000,43,0.043,1.0621830224990845,14.587668895721436
GA-FT,adult,rf,gender,14,1000,132,0.132,0.971662163734436,14.570328950881958
RS,adult,rf,gender,15,1000,41,0.041,1.0394920110702515,14.647506952285767
GA-FT,adult,rf,gender,15,1000,110,0.11,1.0945054292678833,14.613269090652466
RS,adult,rf,gender,16,1000,51,0.051,1.0259575843811035,14.521585941314697
GA-FT,adult,rf,gender,16,1000,54,0.054,1.025622010231018,14.55046010017395
RS,adult,rf,gender,17,1000,43,0.043,1.0962969064712524,14.613431930541992
GA-FT,adult,rf,gender,17,1000,66,0.066,0.8728694319725037,14.5388343334198
RS,adult,rf,gender,18,1000,37,0.037,1.0008703470230103,14.601185083389282
GA-FT,adult,rf,gender,18,1000,149,0.149,1.0228087902069092,14.621313095092773
RS,adult,rf,gender,19,1000,40,0.04,1.1069530248641968,14.577625036239624
GA-FT,adult,rf,gender,19,1000,150,0.15,0.8897760510444641,14.569642066955566
RS,adult,rf,gender,20,1000,31,0.031,1.022821068763733,14.544502973556519
GA-FT,adult,rf,gender,20,1000,146,0.146,0.7064014673233032,14.533710241317749
RS,adult,rf,gender,21,1000,48,0.048,1.058395504951477,14.577347993850708
GA-FT,adult,rf,gender,21,1000,55,0.055,1.2437283992767334,14.844440221786499
RS,adult,rf,gender,22,1000,50,0.05,1.0951496362686157,15.103669881820679
GA-FT,adult,rf,gender,22,1000,45,0.045,1.3578441143035889,14.910215139389038
RS,adult,rf,gender,23,1000,46,0.046,1.1054964065551758,15.046910047531128
GA-FT,adult,rf,gender,23,1000,137,0.137,0.9314197301864624,14.8979971408844
RS,adult,rf,gender,24,1000,34,0.034,1.001828908920288,14.535479068756104
GA-FT,adult,rf,gender,24,1000,150,0.15,0.987926185131073,13.282684087753296
RS,adult,rf,gender,25,1000,29,0.029,1.0788785219192505,13.367042064666748
GA-FT,adult,rf,gender,25,1000,52,0.052,1.1448286771774292,13.37399697303772
RS,adult,rf,gender,26,1000,47,0.047,0.9624876976013184,13.253624677658081
GA-FT,adult,rf,gender,26,1000,196,0.196,1.0795732736587524,13.290171146392822
RS,adult,rf,gender,27,1000,47,0.047,1.0604972839355469,13.35000205039978
GA-FT,adult,rf,gender,27,1000,83,0.083,1.1705515384674072,13.416600227355957
RS,adult,rf,gender,28,1000,55,0.055,1.038227915763855,13.31000018119812
GA-FT,adult,rf,gender,28,1000,104,0.104,0.9486048221588135,13.358492136001587
RS,adult,rf,gender,29,1000,56,0.056,1.0728737115859985,13.280436038970947
GA-FT,adult,rf,gender,29,1000,81,0.081,1.2088202238082886,13.345916986465454
RS,adult,rf,age,0,1000,350,0.35,0.9192890524864197,13.167060852050781
GA-FT,adult,rf,age,0,1000,374,0.374,0.9263043403625488,13.141872882843018
RS,adult,rf,age,1,1000,373,0.373,0.9310835003852844,12.836361169815063
GA-FT,adult,rf,age,1,1000,352,0.352,0.8716511726379395,12.969413995742798
RS,adult,rf,age,2,1000,373,0.373,1.0033197402954102,12.768401861190796
GA-FT,adult,rf,age,2,1000,470,0.47,1.210522174835205,12.831273794174194
RS,adult,rf,age,3,1000,386,0.386,0.96946781873703,12.83579397201538
GA-FT,adult,rf,age,3,1000,372,0.372,1.0835933685302734,12.883294820785522
RS,adult,rf,age,4,1000,377,0.377,0.9323306679725647,12.800265073776245
GA-FT,adult,rf,age,4,1000,393,0.393,0.8763241767883301,12.926055908203125
RS,adult,rf,age,5,1000,377,0.377,0.9686574935913086,12.840321063995361
GA-FT,adult,rf,age,5,1000,416,0.416,1.0983939170837402,12.964884996414185
RS,adult,rf,age,6,1000,371,0.371,0.957653284072876,12.776391983032227
GA-FT,adult,rf,age,6,1000,417,0.417,1.2140345573425293,14.026952981948853
RS,adult,rf,age,7,1000,362,0.362,0.9546153545379639,14.639851093292236
GA-FT,adult,rf,age,7,1000,407,0.407,1.0410032272338867,14.75756311416626
RS,adult,rf,age,8,1000,381,0.381,0.9953135848045349,14.663628101348877
GA-FT,adult,rf,age,8,1000,407,0.407,1.0351842641830444,14.859093189239502
RS,adult,rf,age,9,1000,388,0.388,0.9670754075050354,14.627090215682983
GA-FT,adult,rf,age,9,1000,441,0.441,1.0091488361358643,14.821231842041016
RS,adult,rf,age,10,1000,393,0.393,0.9807987809181213,14.752840995788574
GA-FT,adult,rf,age,10,1000,456,0.456,1.1676809787750244,14.74769115447998
RS,adult,rf,age,11,1000,373,0.373,1.0065778493881226,14.684482097625732
GA-FT,adult,rf,age,11,1000,423,0.423,1.1115317344665527,14.80744218826294
RS,adult,rf,age,12,1000,382,0.382,0.9433717727661133,14.67234492301941
GA-FT,adult,rf,age,12,1000,351,0.351,0.9461117386817932,14.726614952087402
RS,adult,rf,age,13,1000,386,0.386,0.9642619490623474,14.749722957611084
GA-FT,adult,rf,age,13,1000,419,0.419,1.0615839958190918,14.923245906829834
RS,adult,rf,age,14,1000,357,0.357,0.9573403000831604,14.70151686668396
GA-FT,adult,rf,age,14,1000,424,0.424,0.9293657541275024,14.845953226089478
RS,adult,rf,age,15,1000,368,0.368,0.9638112783432007,14.677770376205444
GA-FT,adult,rf,age,15,1000,391,0.391,0.9506099820137024,14.886563062667847
RS,adult,rf,age,16,1000,372,0.372,0.9580135941505432,14.730525970458984
GA-FT,adult,rf,age,16,1000,415,0.415,0.858805775642395,14.761664867401123
RS,adult,rf,age,17,1000,396,0.396,0.9369837641716003,43.20559787750244
GA-FT,adult,rf,age,17,1000,477,0.477,1.0628052949905396,14.64151120185852
RS,adult,rf,age,18,1000,377,0.377,0.98465496301651,22.640486240386963
GA-FT,adult,rf,age,18,1000,477,0.477,1.1213575601577759,84.03444385528564
RS,adult,rf,age,19,1000,376,0.376,0.9533877372741699,14.584163665771484
GA-FT,adult,rf,age,19,1000,396,0.396,0.8833130598068237,14.73779582977295
RS,adult,rf,age,20,1000,366,0.366,1.003474473953247,566.9409091472626
GA-FT,adult,rf,age,20,1000,464,0.464,1.2282248735427856,14.64634108543396
RS,adult,rf,age,21,1000,362,0.362,0.973974883556366,14.509986162185669
GA-FT,adult,rf,age,21,1000,448,0.448,1.080759882926941,573.463671207428
RS,adult,rf,age,22,1000,357,0.357,0.9811909198760986,14.573697090148926
GA-FT,adult,rf,age,22,1000,339,0.339,1.035779356956482,14.694744110107422
RS,adult,rf,age,23,1000,358,0.358,0.9473648071289062,14.643646001815796
GA-FT,adult,rf,age,23,1000,381,0.381,0.995040774345398,527.4733603000641
RS,adult,rf,age,24,1000,365,0.365,0.9379850029945374,12.990267276763916
GA-FT,adult,rf,age,24,1000,338,0.338,0.9114633202552795,13.12759780883789
RS,adult,rf,age,25,1000,360,0.36,0.9851183891296387,12.802512168884277
GA-FT,adult,rf,age,25,1000,443,0.443,0.9808205366134644,12.761006116867065
RS,adult,rf,age,26,1000,359,0.359,0.958397388458252,12.706169128417969
GA-FT,adult,rf,age,26,1000,463,0.463,0.8747445344924927,12.780230045318604
RS,adult,rf,age,27,1000,378,0.378,0.9652560949325562,12.815032005310059
GA-FT,adult,rf,age,27,1000,447,0.447,1.079378604888916,13.278039932250977
RS,adult,rf,age,28,1000,376,0.376,0.9518733620643616,12.915066003799438
GA-FT,adult,rf,age,28,1000,341,0.341,1.1355165243148804,12.830427885055542
RS,adult,rf,age,29,1000,393,0.393,0.9782264828681946,12.910140991210938
GA-FT,adult,rf,age,29,1000,459,0.459,0.9216992855072021,12.762323141098022
RS,adult,gbm,race,0,1000,75,0.075,0.9694467186927795,0.07254505157470703
GA-FT,adult,gbm,race,0,1000,520,0.52,1.2979471683502197,0.10051727294921875
RS,adult,gbm,race,1,1000,59,0.059,1.0516445636749268,0.07275199890136719
GA-FT,adult,gbm,race,1,1000,528,0.528,1.2432360649108887,0.09765887260437012
RS,adult,gbm,race,2,1000,66,0.066,0.9366415739059448,0.07026481628417969
GA-FT,adult,gbm,race,2,1000,496,0.496,1.3081130981445312,0.09760904312133789
RS,adult,gbm,race,3,1000,57,0.057,1.0317341089248657,0.07214498519897461
GA-FT,adult,gbm,race,3,1000,486,0.486,1.3710360527038574,0.10123491287231445
RS,adult,gbm,race,4,1000,62,0.062,0.8849983811378479,0.07509684562683105
GA-FT,adult,gbm,race,4,1000,446,0.446,1.2660709619522095,0.09665417671203613
RS,adult,gbm,race,5,1000,64,0.064,0.977600634098053,0.06960225105285645
GA-FT,adult,gbm,race,5,1000,515,0.515,1.230819821357727,0.09737396240234375
RS,adult,gbm,race,6,1000,62,0.062,0.9740205407142639,0.0715630054473877
GA-FT,adult,gbm,race,6,1000,527,0.527,1.3903559446334839,0.09772419929504395
RS,adult,gbm,race,7,1000,72,0.072,0.9434713125228882,0.07039690017700195
GA-FT,adult,gbm,race,7,1000,499,0.499,1.1737687587738037,0.09889483451843262
RS,adult,gbm,race,8,1000,74,0.074,0.945681095123291,0.07384109497070312
GA-FT,adult,gbm,race,8,1000,498,0.498,1.1731950044631958,0.10044312477111816
RS,adult,gbm,race,9,1000,66,0.066,0.9014208912849426,0.07422637939453125
GA-FT,adult,gbm,race,9,1000,477,0.477,1.3625338077545166,0.10177993774414062
RS,adult,gbm,race,10,1000,67,0.067,1.0380810499191284,0.0736398696899414
GA-FT,adult,gbm,race,10,1000,499,0.499,1.2913588285446167,0.09799408912658691
RS,adult,gbm,race,11,1000,72,0.072,0.9671428203582764,0.07114481925964355
GA-FT,adult,gbm,race,11,1000,490,0.49,1.2459144592285156,0.09845185279846191
RS,adult,gbm,race,12,1000,61,0.061,0.8638300895690918,0.07093405723571777
GA-FT,adult,gbm,race,12,1000,518,0.518,1.2878925800323486,0.0984652042388916
RS,adult,gbm,race,13,1000,80,0.08,0.8245165348052979,0.07211709022521973
GA-FT,adult,gbm,race,13,1000,511,0.511,1.4033827781677246,0.10063505172729492
RS,adult,gbm,race,14,1000,69,0.069,0.972655713558197,0.074188232421875
GA-FT,adult,gbm,race,14,1000,421,0.421,1.3324464559555054,0.10133814811706543
RS,adult,gbm,race,15,1000,55,0.055,0.9676405787467957,0.07309699058532715
GA-FT,adult,gbm,race,15,1000,377,0.377,1.3073432445526123,0.10156130790710449
RS,adult,gbm,race,16,1000,74,0.074,0.9367173314094543,0.07395815849304199
GA-FT,adult,gbm,race,16,1000,224,0.224,1.3754407167434692,0.09310102462768555
RS,adult,gbm,race,17,1000,69,0.069,0.8649517297744751,0.07077288627624512
GA-FT,adult,gbm,race,17,1000,526,0.526,1.1851671934127808,0.0983729362487793
RS,adult,gbm,race,18,1000,62,0.062,1.0350582599639893,0.07197189331054688
GA-FT,adult,gbm,race,18,1000,546,0.546,1.2849571704864502,0.0991818904876709
RS,adult,gbm,race,19,1000,73,0.073,0.9043627381324768,0.06972098350524902
GA-FT,adult,gbm,race,19,1000,444,0.444,1.2094494104385376,0.09716296195983887
RS,adult,gbm,race,20,1000,74,0.074,1.0925343036651611,0.07059979438781738
GA-FT,adult,gbm,race,20,1000,508,0.508,1.1830700635910034,0.09878778457641602
RS,adult,gbm,race,21,1000,72,0.072,0.964501678943634,0.07288098335266113
GA-FT,adult,gbm,race,21,1000,532,0.532,1.2197641134262085,0.10408401489257812
RS,adult,gbm,race,22,1000,60,0.06,0.9558429718017578,0.12158393859863281
GA-FT,adult,gbm,race,22,1000,542,0.542,1.2629419565200806,0.10920286178588867
RS,adult,gbm,race,23,1000,65,0.065,0.8811437487602234,0.0750420093536377
GA-FT,adult,gbm,race,23,1000,439,0.439,1.2961955070495605,0.1022801399230957
RS,adult,gbm,race,24,1000,67,0.067,0.956819474697113,0.07424688339233398
GA-FT,adult,gbm,race,24,1000,495,0.495,1.242439866065979,0.10791993141174316
RS,adult,gbm,race,25,1000,68,0.068,0.9176506400108337,0.07176995277404785
GA-FT,adult,gbm,race,25,1000,459,0.459,1.1744345426559448,0.10004305839538574
RS,adult,gbm,race,26,1000,63,0.063,0.8492804169654846,0.07268977165222168
GA-FT,adult,gbm,race,26,1000,505,0.505,1.4161219596862793,0.09869003295898438
RS,adult,gbm,race,27,1000,73,0.073,0.9985277056694031,0.07468795776367188
GA-FT,adult,gbm,race,27,1000,445,0.445,1.165204405784607,0.10185694694519043
RS,adult,gbm,race,28,1000,78,0.078,0.9034621715545654,0.07399606704711914
GA-FT,adult,gbm,race,28,1000,393,0.393,1.3812717199325562,0.09999990463256836
RS,adult,gbm,race,29,1000,54,0.054,0.9806547164916992,0.075775146484375
GA-FT,adult,gbm,race,29,1000,531,0.531,1.347266674041748,0.09855484962463379
RS,adult,gbm,gender,0,1000,48,0.048,0.9143990874290466,0.06962275505065918
GA-FT,adult,gbm,gender,0,1000,337,0.337,1.0945812463760376,0.09457206726074219
RS,adult,gbm,gender,1,1000,39,0.039,0.9273478388786316,0.06888103485107422
GA-FT,adult,gbm,gender,1,1000,398,0.398,1.6029185056686401,0.09607982635498047
RS,adult,gbm,gender,2,1000,43,0.043,0.8131864666938782,0.06909298896789551
GA-FT,adult,gbm,gender,2,1000,469,0.469,1.3718233108520508,0.09758996963500977
RS,adult,gbm,gender,3,1000,33,0.033,0.9714136123657227,0.07143211364746094
GA-FT,adult,gbm,gender,3,1000,449,0.449,1.3360743522644043,0.10004019737243652
RS,adult,gbm,gender,4,1000,31,0.031,0.7828692197799683,0.07152104377746582
GA-FT,adult,gbm,gender,4,1000,439,0.439,1.2605534791946411,0.09890007972717285
RS,adult,gbm,gender,5,1000,37,0.037,0.8158872723579407,0.06897878646850586
GA-FT,adult,gbm,gender,5,1000,472,0.472,1.2552236318588257,0.09731411933898926
RS,adult,gbm,gender,6,1000,40,0.04,0.9345958232879639,0.07086896896362305
GA-FT,adult,gbm,gender,6,1000,486,0.486,1.053527593612671,0.09755587577819824
RS,adult,gbm,gender,7,1000,44,0.044,0.8255789279937744,0.06954789161682129
GA-FT,adult,gbm,gender,7,1000,513,0.513,1.2749933004379272,0.09865069389343262
RS,adult,gbm,gender,8,1000,50,0.05,0.8583332896232605,0.07223105430603027
GA-FT,adult,gbm,gender,8,1000,450,0.45,1.3829213380813599,0.10153484344482422
RS,adult,gbm,gender,9,1000,46,0.046,0.804172933101654,0.07362627983093262
GA-FT,adult,gbm,gender,9,1000,484,0.484,1.4297064542770386,0.0990610122680664
RS,adult,gbm,gender,10,1000,39,0.039,0.9572710394859314,0.07029104232788086
GA-FT,adult,gbm,gender,10,1000,506,0.506,1.2647861242294312,0.09825491905212402
RS,adult,gbm,gender,11,1000,50,0.05,0.7693410515785217,0.07121610641479492
GA-FT,adult,gbm,gender,11,1000,497,0.497,1.266456127166748,0.09738516807556152
RS,adult,gbm,gender,12,1000,44,0.044,0.8796595335006714,0.07018780708312988
GA-FT,adult,gbm,gender,12,1000,494,0.494,1.3266847133636475,0.09850192070007324
RS,adult,gbm,gender,13,1000,45,0.045,0.7699974179267883,0.07116985321044922
GA-FT,adult,gbm,gender,13,1000,527,0.527,1.3300715684890747,0.09831714630126953
RS,adult,gbm,gender,14,1000,47,0.047,0.8354398608207703,0.07157588005065918
GA-FT,adult,gbm,gender,14,1000,453,0.453,1.136645793914795,0.09904003143310547
RS,adult,gbm,gender,15,1000,39,0.039,0.8630499839782715,0.06965470314025879
GA-FT,adult,gbm,gender,15,1000,460,0.46,1.3000648021697998,0.0989081859588623
RS,adult,gbm,gender,16,1000,56,0.056,0.8304851055145264,0.07039022445678711
GA-FT,adult,gbm,gender,16,1000,517,0.517,1.3978499174118042,0.1000678539276123
RS,adult,gbm,gender,17,1000,47,0.047,0.7711018919944763,0.06994986534118652
GA-FT,adult,gbm,gender,17,1000,487,0.487,1.3129745721817017,0.09636688232421875
RS,adult,gbm,gender,18,1000,34,0.034,0.8897889852523804,0.07056403160095215
GA-FT,adult,gbm,gender,18,1000,409,0.409,1.3328732252120972,0.09992814064025879
RS,adult,gbm,gender,19,1000,43,0.043,0.8048964738845825,0.07132196426391602
GA-FT,adult,gbm,gender,19,1000,482,0.482,1.2636140584945679,0.09627485275268555
RS,adult,gbm,gender,20,1000,34,0.034,0.7429293394088745,0.07170820236206055
GA-FT,adult,gbm,gender,20,1000,529,0.529,1.3451372385025024,0.10091710090637207
RS,adult,gbm,gender,21,1000,45,0.045,0.7339441180229187,0.07152199745178223
GA-FT,adult,gbm,gender,21,1000,457,0.457,1.4753135442733765,0.09668493270874023
RS,adult,gbm,gender,22,1000,32,0.032,0.9397793412208557,0.07134103775024414
GA-FT,adult,gbm,gender,22,1000,436,0.436,1.298575520515442,0.09974908828735352
RS,adult,gbm,gender,23,1000,45,0.045,0.7397660613059998,0.0714418888092041
GA-FT,adult,gbm,gender,23,1000,461,0.461,1.3718938827514648,0.09659314155578613
RS,adult,gbm,gender,24,1000,39,0.039,0.7927207350730896,0.07051920890808105
GA-FT,adult,gbm,gender,24,1000,490,0.49,1.270244836807251,0.09749078750610352
RS,adult,gbm,gender,25,1000,42,0.042,0.836040198802948,0.06954717636108398
GA-FT,adult,gbm,gender,25,1000,462,0.462,1.1964143514633179,0.09730386734008789
RS,adult,gbm,gender,26,1000,51,0.051,0.7917103171348572,0.06974601745605469
GA-FT,adult,gbm,gender,26,1000,469,0.469,1.2988537549972534,0.09754109382629395
RS,adult,gbm,gender,27,1000,48,0.048,0.9584865570068359,0.0696108341217041
GA-FT,adult,gbm,gender,27,1000,572,0.572,1.383481740951538,0.10111308097839355
RS,adult,gbm,gender,28,1000,51,0.051,0.889236569404602,0.07272076606750488
GA-FT,adult,gbm,gender,28,1000,476,0.476,1.0467889308929443,0.09554696083068848
RS,adult,gbm,gender,29,1000,36,0.036,0.8723371028900146,0.06844091415405273
GA-FT,adult,gbm,gender,29,1000,401,0.401,1.2637627124786377,0.09700393676757812
RS,adult,gbm,age,0,1000,242,0.242,0.8829576969146729,0.10003995895385742
GA-FT,adult,gbm,age,0,1000,656,0.656,1.379095196723938,0.12889599800109863
RS,adult,gbm,age,1,1000,243,0.243,0.9136843085289001,0.10152435302734375
GA-FT,adult,gbm,age,1,1000,720,0.72,1.3331071138381958,0.1273329257965088
RS,adult,gbm,age,2,1000,242,0.242,0.9866024851799011,0.09617996215820312
GA-FT,adult,gbm,age,2,1000,721,0.721,1.3751863241195679,0.1262211799621582
RS,adult,gbm,age,3,1000,254,0.254,0.9435234665870667,0.09543871879577637
